Date,Open,High,Low,Close,Adj Close,Volume
2023/4/14,1.142696,1.148537,1.141587,1.142914,1.142914,0
2023/4/17,1.140588,1.143542,1.135776,1.140508,1.140508,0
2023/4/18,1.140755,1.143036,1.136588,1.140783,1.140783,0
2023/4/19,1.141623,1.142057,1.13697,1.141405,1.141405,0
2023/4/20,1.13988,1.142732,1.137939,1.139933,1.139933,0
2023/4/21,1.14201,1.142392,1.137265,1.142052,1.142052,0
2023/4/24,1.138685,1.141695,1.136035,1.138666,1.138666,0
2023/4/25,1.13787,1.138841,1.131748,1.137949,1.137949,0
2023/4/26,1.132144,1.135076,1.128092,1.132081,1.132081,0
2023/4/27,1.132977,1.135626,1.131961,1.132995,1.132995,0
2023/4/28,1.133615,1.136226,1.131951,1.133429,1.133429,0
2023/5/1,1.136406,1.138962,1.13175,1.136386,1.136386,0
2023/5/2,1.132324,1.136506,1.131023,1.132107,1.132107,0
2023/5/3,1.135581,1.137485,1.134634,1.135319,1.135319,0
2023/5/4,1.135212,1.139316,1.133376,1.13516,1.13516,0
2023/5/5,1.136016,1.137154,1.132861,1.136066,1.136066,0
2023/5/8,1.135495,1.138102,1.133437,1.135443,1.135443,0
2023/5/9,1.135285,1.135877,1.131642,1.134964,1.134964,0
2023/5/10,1.133098,1.133428,1.12845,1.132967,1.132967,0
2023/5/11,1.129591,1.130607,1.127266,1.129609,1.129609,0
2023/5/12,1.128121,1.129584,1.126304,1.127804,1.127804,0
2023/5/15,1.127398,1.128312,1.122373,1.127277,1.127277,0
2023/5/16,1.12746,1.127699,1.122195,1.127234,1.127234,0
2023/5/17,1.123342,1.123342,1.117398,1.123205,1.123205,0
2023/5/18,1.118606,1.119629,1.111136,1.118652,1.118652,0
2023/5/19,1.112689,1.116176,1.107793,1.112361,1.112361,0
2023/5/22,1.118743,1.120401,1.11178,1.118954,1.118954,0
2023/5/23,1.112822,1.113635,1.109459,1.112777,1.112777,0
2023/5/24,1.110627,1.113305,1.108523,1.110573,1.110573,0
2023/5/25,1.108968,1.110859,1.106292,1.108928,1.108928,0
2023/5/26,1.106913,1.11191,1.106158,1.10656,1.10656,0
2023/5/29,1.107755,1.108919,1.105414,1.107897,1.107897,0
2023/5/30,1.106546,1.107952,1.103125,1.106594,1.106594,0
2023/5/31,1.106491,1.107942,1.099406,1.106397,1.106397,0
2023/6/1,1.101032,1.104405,1.099146,1.101159,1.101159,0
2023/6/2,1.103941,1.110654,1.102366,1.103572,1.103572,0
2023/6/5,1.102164,1.103855,1.099713,1.102762,1.102762,0
2023/6/6,1.103523,1.10412,1.100445,1.103442,1.103442,0
2023/6/7,1.101951,1.103677,1.099155,1.101804,1.101804,0
2023/6/8,1.099824,1.102557,1.097074,1.099845,1.099845,0
2023/6/9,1.101809,1.104696,1.098453,1.101685,1.101685,0
2023/6/12,1.099383,1.099494,1.095329,1.099731,1.099731,0
2023/6/13,1.096219,1.097193,1.092867,1.096244,1.096244,0
2023/6/14,1.092953,1.096144,1.091978,1.092832,1.092832,0
2023/6/15,1.093078,1.097687,1.090097,1.093113,1.093113,0
2023/6/16,1.098449,1.10225,1.095066,1.098377,1.098377,0
2023/6/19,1.100099,1.100575,1.090672,1.09773,1.09773,0
2023/6/20,1.091556,1.094364,1.088673,1.091591,1.091591,0
2023/6/21,1.089655,1.093137,1.087002,1.089725,1.089725,0
2023/6/22,1.090384,1.091573,1.08918,1.090196,1.090196,0
2023/6/23,1.090437,1.091422,1.089454,1.090543,1.090543,0
2023/6/26,1.092231,1.092477,1.080915,1.092114,1.092114,0
2023/6/27,1.081604,1.087093,1.081565,1.081884,1.081884,0
2023/6/28,1.084837,1.087223,1.078911,1.084811,1.084811,0
2023/6/29,1.080955,1.085353,1.077476,1.081054,1.081054,0
2023/6/30,1.080911,1.082071,1.077679,1.080833,1.080833,0
2023/7/3,1.080103,1.086477,1.079352,1.080121,1.080121,0
2023/7/4,1.08164,1.086983,1.080904,1.08188,1.08188,0
2023/7/5,1.085645,1.086121,1.078182,1.085321,1.085321,0
2023/7/6,1.079246,1.083232,1.077026,1.079207,1.079207,0
2023/7/7,1.078577,1.084744,1.078085,1.078517,1.078517,0
2023/7/10,1.095183,1.095276,1.080602,1.095139,1.095139,0
2023/7/11,1.082207,1.090796,1.081858,1.082511,1.082511,0
2023/7/12,1.08547,1.092833,1.084894,1.085523,1.085523,0
2023/7/13,1.092047,1.094308,1.08972,1.091933,1.091933,0
2023/7/14,1.093409,1.098042,1.092728,1.093256,1.093256,0
2023/7/17,1.094089,1.097454,1.088246,1.094058,1.094058,0
2023/7/18,1.089194,1.092448,1.087484,1.089245,1.089245,0
2023/7/19,1.088412,1.090431,1.079797,1.088175,1.088175,0
2023/7/20,1.080647,1.090738,1.080133,1.080251,1.080251,0
2023/7/21,1.088267,1.091223,1.086788,1.088491,1.088491,0
